target_gene,top10_predictors
YDR056C,"['YDL038C', 'YFL014W', 'YOL058W', 'YDR170W-A', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C']"
YDR057W,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YDR058C,"['YOR289W', 'YFL014W', 'YGL089C', 'YBR072W', 'YML123C', 'Q0130', 'YLR327C', 'Q0070', 'YLR361C', 'YLR360W']"
YDR059C,"['YGL156W', 'YDL130W-A', 'YMR191W', 'YGR110W', 'YBR085C-A', 'YER081W', 'YNL036W', 'YLR327C', 'YDR034W-B', 'YGL089C']"
YDR060W,"['YGR008C', 'YBR085C-A', 'YNL036W', 'YDR171W', 'YLR178C', 'YDL130W-A', 'YBR072W', 'YCL040W', 'YGR161C', 'YCL042W']"
YDR061W,"['YGL121C', 'YDR171W', 'YDL038C', 'YFR053C', 'YHR087W', 'YJL153C', 'YML054C', 'YLR327C', 'YLR360W', 'YLR359W']"
YDR062W,"['YDR170W-A', 'Q0055', 'YDR034W-B', 'Q0010', 'YLR351C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YDR063W,"['YHR087W', 'YDR170W-A', 'YDL181W', 'Q0010', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YDR064W,"['YJL136C', 'YMR169C', 'YBR072W', 'YNL036W', 'YGR032W', 'YGL089C', 'YLR353W', 'YLR360W', 'YLR359W', 'YLR358C']"
YDR065W,"['YDR170W-A', 'YNL036W', 'YDR034W-B', 'YFL064C', 'YMR046C', 'YOR382W', 'YER081W', 'Q0010', 'YLR352W', 'YLR358C']"
YDR066C,"['YDR034W-B', 'YER081W', 'YFR053C', 'YBR072W', 'YDR170W-A', 'Q0010', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W']"
YDR067C,"['YER081W', 'YAR073W', 'Q0010', 'YLR351C', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YDR068W,"['YDL038C', 'Q0065', 'Q0010', 'YLR351C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C']"
YDR069C,"['YML100W', 'YNL237W', 'YGL089C', 'YDL038C', 'YJL153C', 'YDR171W', 'YBR072W', 'YBR054W', 'YLR350W', 'YLR346C']"
YDR070C,"['YMR175W', 'YDL204W', 'YGR248W', 'YGL121C', 'YGR043C', 'YBR072W', 'YHR096C', 'YFL014W', 'YMR169C', 'YOL058W']"
YDR071C,"['YDR170W-A', 'Q0055', 'Q0010', 'YLR351C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C']"
YDR072C,"['YKL051W', 'YOR153W', 'YLR194C', 'YGR035C', 'YDR133C', 'YOR306C', 'YER081W', 'YDL038C', 'YPL057C', 'YIL121W']"
YDR073W,"['YDR019C', 'YCL064C', 'YCL026C-B', 'YIL121W', 'YKR039W', 'YJR078W', 'YLR351C', 'YLR359W', 'YLR358C', 'YLR357W']"
YDR074W,"['YBR126C', 'YML100W', 'YOR273C', 'YOL052C-A', 'YAL061W', 'YOL084W', 'YHR087W', 'YDL038C', 'YDR170W-A', 'YFR015C']"
YDR075W,"['YDR171W', 'YGR079W', 'YDR170W-A', 'YER081W', 'YEL060C', 'YOR382W', 'YFL014W', 'YLR353W', 'YLR354C', 'YLR355C']"
YDR076W,"['YGL089C', 'YHR087W', 'YDR210C-C', 'YDL038C', 'YDR170W-A', 'YDR171W', 'Q0130', 'YLR345W', 'YLR344W', 'YLR363W-A']"
YDR077W,"['YJL159W', 'YHR209W', 'YKL096W', 'YGR032W', 'YOL014W', 'YPR149W', 'YNL160W', 'YKL163W', 'YKL161C', 'YMR251W-A']"
YDR078C,"['YKL096W', 'YIR031C', 'YDR133C', 'YER081W', 'YBR054W', 'YOL014W', 'YDL038C', 'Q0055', 'YMR173W-A', 'YJL153C']"
YDR079C-A,"['snR10', 'YBR054W', 'Q0055', 'Q0010', 'YLR352W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W']"
YDR079W,"['YFR053C', 'Q0065', 'YFL014W', 'YLR346C', 'Q0010', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YDR080W,"['YDR170W-A', 'YLR327C', 'YMR169C', 'Q0010', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C']"
YDR081C,"['YHR087W', 'YCL042W', 'YLR351C', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C']"
YDR082W,"['YIR031C', 'YBR298C', 'YCR020C', 'YFR026C', 'YGL089C', 'YGR032W', 'YER081W', 'YML123C', 'Q0010', 'YLR353W']"
YDR083W,"['YDR171W', 'YNL112W', 'YLR178C', 'YOR374W', 'YGL029W', 'YNL036W', 'YCR005C', 'YGR032W', 'YER081W', 'YLR327C']"
YDR084C,"['YDL038C', 'YPR158W-A', 'Q0130', 'Q0010', 'YLR351C', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C']"
YDR085C,"['YIL117C', 'YKL163W', 'YFR015C', 'YHR087W', 'YKL096W', 'YJL153C', 'YIL080W', 'YBR054W', 'YHR209W', 'YHR215W']"
YDR086C,"['YBR085C-A', 'Q0055', 'YDR170W-A', 'YBR072W', 'Q0010', 'YLR354C', 'YLR362W', 'YLR361C', 'YLR360W', 'YLR359W']"
YDR087C,"['YGL029W', 'YCL040W', 'YKL078W', 'YML100W', 'YGR043C', 'YLR327C', 'YLL026W', 'YMR169C', 'YER081W', 'YDR074W']"
YDR088C,"['YGR043C', 'Q0010', 'YLR361C', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YDR089W,"['YDR019C', 'YMR120C', 'YOR273C', 'YDL038C', 'YER053C-A', 'YER081W', 'YOR161C', 'YBR054W', 'YMR006C', 'YML123C']"
YDR090C,"['YHR087W', 'YFL014W', 'YDR170W-A', 'YDR171W', 'YLR344W', 'YLR353W', 'YLR362W', 'YLR361C', 'YLR360W', 'YLR359W']"
YDR091C,"['YLR178C', 'YDR170W-A', 'YJR148W', 'Q0055', 'YER081W', 'YDR171W', 'YLR327C', 'YCR005C', 'YOR374W', 'YDR034W-B']"
YDR092W,"['Q0065', 'Q0055', 'YLR327C', 'YDR170W-A', 'Q0010', 'YLR351C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W']"
YDR093W,"['YDR034W-B', 'YER081W', 'YML123C', 'YDR171W', 'YBR072W', 'Q0130', 'YLR353W', 'YLR360W', 'YLR359W', 'YLR358C']"
YDR094W,"['YML123C', 'YOR153W', 'YML100W', 'YBR054W', 'Q0130', 'YER081W', 'Q0010', 'YLR352W', 'YLR359W', 'YLR358C']"
YDR095C,"['YDR171W', 'YGR032W', 'YOR225W', 'YLR178C', 'YNL036W', 'YOR374W', 'YDL038C', 'YBR072W', 'YLR327C', 'YLR355C']"
YDR096W,"['YFR015C', 'YDR074W', 'YML100W', 'Q0055', 'YDL039C', 'YOR273C', 'YIL119C', 'YOR161C', 'YOR382W', 'YLR353W']"
YDR097C,"['YMR169C', 'YHR087W', 'YBR072W', 'Q0010', 'YLR353W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W']"
YDR098C,"['YCR005C', 'YIL117C', 'YOR153W', 'YDL039C', 'YER081W', 'Q0010', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YDR098C-B,"['YLR400W', 'YPR158C-D', 'YAR009C', 'YDR261C-D', 'YER138W-A', 'YGR161C-D', 'YMR158C-A', 'YDR261W-B', 'YDR210C-C', 'YGL089C']"
YDR099W,"['YDR171W', 'YFR053C', 'YFL014W', 'YBR072W', 'YOR374W', 'YGL156W', 'YCR005C', 'YDL038C', 'YGR032W', 'YGL089C']"
YDR100W,"['YOR374W', 'YOR289W', 'YDL038C', 'YHR087W', 'YDR133C', 'YDR210W-B', 'YML123C', 'YOL058W', 'YLR353W', 'YLR358C']"
YDR101C,"['YCL040W', 'YKL078W', 'YDR171W', 'YGR159C', 'YDR258C', 'YOR374W', 'YLL026W', 'YAL061W', 'YGL089C', 'YDL038C']"
YDR102C,"['YDR170W-A', 'Q0010', 'YLR362W', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YDR103W,"['YCR097W', 'YJR086W', 'YJR004C', 'YPL187W', 'YKL178C', 'YLR353W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C']"
YDR104C,"['YFL014W', 'YGR032W', 'YGL089C', 'Q0010', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YDR105C,"['YCL042W', 'YAL061W', 'YDL039C', 'YML128C', 'YML100W', 'Q0010', 'YLR352W', 'YLR361C', 'YLR360W', 'YLR359W']"
YDR106W,"['YDL038C', 'YMR173W', 'YDR170W-A', 'YML123C', 'Q0010', 'YLR352W', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W']"
YDR107C,"['YIL080W', 'YML047C', 'YHR087W', 'YNR044W', 'YGR109W-A', 'YDL038C', 'YNR058W', 'YKL096W', 'YGL089C', 'YLR348C']"
YDR108W,"['YHR087W', 'YLR384C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YDR109C,"['YBR072W', 'YGL089C', 'YGR032W', 'Q0010', 'YLR352W', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YDR110W,"['YDR171W', 'YDL038C', 'YHR087W', 'YMR169C', 'YER067W', 'YLR351C', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YDR111C,"['YJR148W', 'YDR171W', 'YNL036W', 'YIL117C', 'YDR502C', 'YBR072W', 'YGL089C', 'YER037W', 'YOL155C', 'YML123C']"
YDR112W,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YDR113C,"['YDL039C', 'YDR034W-B', 'YGR032W', 'Q0010', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C']"
YDR114C,"['YDR170W-A', 'Q0010', 'YLR362W', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YDR115W,"['YDR406W', 'Q0065', 'YFR053C', 'YFL014W', 'YLR327C', 'Q0055', 'YOR382W', 'YOR153W', 'YLR351C', 'YLR357W']"
YDR116C,"['YFR053C', 'YOR153W', 'Q0065', 'YNL160W', 'YGL089C', 'YDR406W', 'YER081W', 'Q0130', 'YIL070C', 'YLR356W']"
YDR117C,"['YGR032W', 'YBR072W', 'YGL089C', 'Q0010', 'YLR352W', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YDR118W,"['YDL038C', 'YJR078W', 'YBR072W', 'YOL058W', 'YLR353W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W']"
YDR119W,"['YMR046C', 'YBR072W', 'YDR171W', 'YDR034W-B', 'YGR032W', 'YLR352W', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W']"
YDR120C,"['YBR085C-A', 'YDR171W', 'YGR008C', 'YLR178C', 'YLR327C', 'YIL117C', 'YHR087W', 'YMR169C', 'YLR347C', 'YLR356W']"
YDR121W,"['YGR032W', 'YHR087W', 'YFR053C', 'YDR258C', 'YML100W', 'YBR072W', 'Q0055', 'Q0010', 'YLR357W', 'YLR363W-A']"
YDR122W,"['YML100W', 'YEL060C', 'YDR171W', 'YCL040W', 'YCL042W', 'YBR072W', 'YML128C', 'YOR382W', 'YLR347C', 'YLR346C']"
YDR123C,"['YDR171W', 'YNL036W', 'YJL153C', 'YDR170W-A', 'Q0055', 'YLR327C', 'YIL117C', 'YDR502C', 'YGR032W', 'YNL198C']"
YDR124W,"['YIL080W', 'YOL014W', 'YGL089C', 'YNR056C', 'YJL157C', 'Q0130', 'Q0070', 'YOL058W', 'YLR377C', 'YLR376C']"
YDR125C,"['YDR170W-A', 'YFL014W', 'YML123C', 'YOR382W', 'YGL089C', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W']"
YDR126W,"['YFL014W', 'Q0130', 'YLR351C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YDR127W,"['YJR109C', 'YDR406W', 'YOR153W', 'YOL058W', 'YMR095C', 'Q0130', 'YFR053C', 'YGL117W', 'YLR343W', 'YLR359W']"
YDR128W,"['YER081W', 'YDR170W-A', 'YNL036W', 'YGR032W', 'YIL080W', 'YLR351C', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YDR129C,"['YHR087W', 'YOL052C-A', 'YOR382W', 'YOL058W', 'YFL014W', 'YGL089C', 'Q0130', 'YML123C', 'Q0010', 'YLR354C']"
YDR130C,"['YDL039C', 'YGL089C', 'YML128C', 'YOL100W', 'Q0070', 'YLR351C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W']"
YDR131C,"['YER103W', 'YGR043C', 'YIL080W', 'YJR078W', 'YER081W', 'YBR085C-A', 'YOL161C', 'YEL073C', 'YLR352W', 'YLR359W']"
YDR132C,"['YNL160W', 'YFL014W', 'Q0010', 'YLR350W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YDR133C,"['YIL029C', 'YOR374W', 'YJR127C', 'YMR173W-A', 'YPR149W', 'YGR230W', 'YBR157C', 'YFR015C', 'YLR121C', 'YHL040C']"
YDR135C,"['YDL048C', 'YGL089C', 'YNL160W', 'YFL014W', 'Q0010', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YDR136C,"['YBR072W', 'YDL196W', 'YML128C', 'YLR327C', 'Q0010', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C']"
YDR137W,"['YDR170W-A', 'YML123C', 'Q0010', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YDR138W,"['YDR034W-B', 'YDR210C-C', 'Q0060', 'YDR171W', 'YOL100W', 'Q0010', 'YLR353W', 'YLR361C', 'YLR360W', 'YLR359W']"
YDR139C,"['YDR034W-B', 'Q0055', 'YBR072W', 'YFR053C', 'Q0010', 'YLR353W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C']"
YDR140W,"['YML100W', 'YMR173W', 'YDR170W-A', 'YDR074W', 'YNL160W', 'Q0055', 'YFL014W', 'YOL052C-A', 'YLR360W', 'YLR359W']"
YDR141C,"['YBR072W', 'YML100W', 'YGR032W', 'YGL089C', 'Q0010', 'YLR353W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C']"
YDR142C,"['YFL014W', 'YLR361C', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W', 'YLR352W']"
YDR143C,"['YDR034W-B', 'YGL089C', 'YLR178C', 'YBR072W', 'YML123C', 'YMR251W-A', 'YFL014W', 'YDL038C', 'YER081W', 'YGR032W']"
YDR144C,"['YGL089C', 'YLR327C', 'YOL052C-A', 'YFL014W', 'YML128C', 'Q0070', 'YGL121C', 'YBR072W', 'YOR374W', 'YER081W']"
YDR145W,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YDR146C,"['YDL038C', 'YNL160W', 'YDL227C', 'Q0055', 'YDR171W', 'YLR351C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W']"
YDR147W,"['YFR053C', 'YDR170W-A', 'YOL014W', 'YLR352W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YDR148C,"['YJR121W', 'YKL148C', 'YDL181W', 'YOR374W', 'YML054C', 'YER081W', 'YFR053C', 'YJL153C', 'YOL052C-A', 'YFL014W']"
YDR149C,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YDR150W,"['YOR374W', 'YGL089C', 'YDR170W-A', 'YFL014W', 'YLR327C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YDR151C,"['YDR171W', 'YDL039C', 'YDR170W-A', 'Q0065', 'YOL058W', 'YLR362W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C']"
YDR152W,"['YGR043C', 'YML100W', 'YOR374W', 'YGR088W', 'YGL029W', 'YER081W', 'YJL153C', 'YHR087W', 'YML128C', 'YBR072W']"
YDR153C,"['YDR170W-A', 'YML128C', 'Q0010', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YDR154C,"['YDR155C', 'YOL086C', 'YGL089C', 'YLL026W', 'YOL052C-A', 'YJL159W', 'YGR032W', 'YFL014W', 'YBR072W', 'YML123C']"
YDR155C,"['YDR154C', 'YDR070C', 'YNL160W', 'YDR034W-B', 'YLR194C', 'YBR072W', 'YGR043C', 'YJL153C', 'YMR169C', 'YLR350W']"
YDR156W,"['YDL038C', 'YER081W', 'YOR374W', 'YDR258C', 'YFL014W', 'YML054C', 'YDR171W', 'Q0010', 'YLR360W', 'YLR359W']"
YDR157W,"['YBR072W', 'Q0010', 'YLR339C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YDR158W,"['YDL198C', 'YJR109C', 'YGL117W', 'YBR072W', 'YKL120W', 'YOL058W', 'YLR303W', 'YDR019C', 'Q0010', 'YLR355C']"
YDR159W,"['YOR153W', 'Q0010', 'YLR349W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W', 'YLR352W']"
YDR160W,"['YGR032W', 'YER081W', 'Q0010', 'YLR350W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YDR161W,"['YCL040W', 'YLR327C', 'YML128C', 'YLL026W', 'YFR053C', 'YML100W', 'YDR171W', 'YHR087W', 'YGL089C', 'YGR032W']"
YDR162C,"['YDR171W', 'YER081W', 'YIL117C', 'Q0010', 'YLR350W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C']"
YDR163W,"['YBR054W', 'Q0010', 'YLR351C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YDR164C,"['YOR225W', 'YDR170W-A', 'YDL038C', 'YFL014W', 'YLR352W', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YDR165W,"['YCL040W', 'YDR171W', 'YGR032W', 'YNL141W', 'YNL036W', 'YGR161C', 'YLR327C', 'YIL101C', 'YDL130W-A', 'Q0065']"
YDR166C,"['Q0070', 'Q0010', 'YLR350W', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YDR167W,"['YBR054W', 'YNR056C', 'YML123C', 'YDL039C', 'Q0065', 'YLR352W', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W']"
YDR168W,"['YDR258C', 'YBR072W', 'YOR382W', 'YFL002W-B', 'YCL042W', 'YLR327C', 'YLR354C', 'YLR360W', 'YLR359W', 'YLR358C']"
YDR169C,"['YGL089C', 'YCL042W', 'YBR072W', 'YDR170W-A', 'Q0010', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YDR170C,"['YML100W', 'YNR016C', 'YGL206C', 'YFL014W', 'YDR406W', 'Q0055', 'YCR102C', 'Q0010', 'YLR352W', 'YLR353W']"
YDR170W-A,"['YNL284C-A', 'YDR210C-C', 'YMR046C', 'YCL042W', 'YPR158W-A', 'YFL002W-B', 'Q0010', 'YLR353W', 'YLR360W', 'YLR359W']"
YDR171W,"['YLL026W', 'YGR142W', 'YDR258C', 'YJL144W', 'YNL036W', 'YHR087W', 'YFR015C', 'YPR158W', 'YBR072W', 'YER037W']"
YDR172W,"['YHR087W', 'Q0065', 'Q0010', 'YLR352W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YDR173C,"['YDR258C', 'YGR142W', 'YDL038C', 'YPL111W', 'YBR054W', 'YLR438W', 'YKL096W', 'YDR034W-B', 'YLR354C', 'YLR361C']"
YDR174W,"['YIL117C', 'YER081W', 'YDL227C', 'YML058W-A', 'YGL089C', 'YOR382W', 'YLR349W', 'YLR358C', 'YLR357W', 'YLR356W']"
YDR175C,"['YFR053C', 'YDR406W', 'Q0065', 'YOR383C', 'YNL160W', 'Q0010', 'YLR350W', 'YLR359W', 'YLR358C', 'YLR357W']"
YDR176W,"['YOL100W', 'YJL153C', 'YBR072W', 'YFL014W', 'YLR352W', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YDR177W,"['YDR171W', 'YNL036W', 'Q0065', 'YLR327C', 'YGR032W', 'YER081W', 'YDR034W-B', 'YBR072W', 'YER091C', 'YDL038C']"
YDR178W,"['YEL024W', 'YLL041C', 'YDL181W', 'YHR001W-A', 'YOR374W', 'YGR032W', 'YBR072W', 'YLR413W', 'YFR053C', 'YNL036W']"
YDR179C,"['YOL100W', 'YHR081W', 'YOR273C', 'YNR056C', 'Q0070', 'YKL082C', 'YGL089C', 'YDR074W', 'YML123C', 'YLR361C']"
YDR179W-A,"['YOL052C-A', 'YDR171W', 'YFL014W', 'YHR087W', 'YLR327C', 'YML100W', 'Q0010', 'YLR361C', 'YLR360W', 'YLR359W']"
YDR180W,"['YFR053C', 'YBR072W', 'Q0065', 'YGR032W', 'YGL089C', 'YGL255W', 'YLR353W', 'YLR361C', 'YLR360W', 'YLR359W']"
YDR181C,"['YOL155C', 'YER081W', 'YDL038C', 'Q0010', 'YLR351C', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C']"
YDR182W,"['YDL039C', 'YML128C', 'YER081W', 'Q0010', 'YLR351C', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C']"
YDR183W,"['YML100W', 'Q0010', 'YLR351C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YDR184C,"['YDR171W', 'YDL038C', 'YDR021W', 'YCR005C', 'YCL040W', 'YER081W', 'YMR140W', 'YGL089C', 'YNL141W', 'Q0130']"
YDR185C,"['YJR078W', 'YDR133C', 'YHR087W', 'YJL088W', 'YDR170W-A', 'YGL089C', 'YDL038C', 'YPR158W-A', 'YNL036W', 'YJR004C']"
YDR186C,"['YBR072W', 'YDR170W-A', 'YGR234W', 'YGR032W', 'YGL089C', 'YGR161C', 'YLR327C', 'YDL038C', 'YFR053C', 'YNR058W']"
YDR187C,"['YOL100W', 'YDL039C', 'YML123C', 'Q0010', 'YLR360W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YDR188W,"['YGL089C', 'YFL014W', 'Q0010', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C']"
YDR189W,"['YFL014W', 'YLR361C', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W', 'YLR352W']"
YDR190C,"['YHR087W', 'YDL204W', 'YBR072W', 'YML128C', 'Q0010', 'YLR353W', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W']"
YDR191W,"['YDR170W-A', 'YGL089C', 'YEL039C', 'YDL038C', 'YDR171W', 'Q0010', 'YLR362W', 'YLR361C', 'YLR360W', 'YLR359W']"
YDR192C,"['YFL014W', 'YML123C', 'YLR350W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YDR193W,"['YBR072W', 'YGR043C', 'YML128C', 'YFL014W', 'YLR362W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W']"
YDR194C,"['YBR085C-A', 'YNL036W', 'YIL117C', 'YLR303W', 'YGL089C', 'YBR072W', 'YDR034W-B', 'Q0010', 'YLR353W', 'YLR360W']"
YDR195W,"['snR10', 'YHR087W', 'YGL089C', 'YLR352W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YDR196C,"['YGR008C', 'YHR087W', 'YGL037C', 'YML128C', 'YIL080W', 'YBR085C-A', 'YFR015C', 'YOL100W', 'YPR160W', 'YDL039C']"
YDR197W,"['YHR087W', 'YFL014W', 'YDL038C', 'YLR341W', 'YLR342W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W']"
YDR198C,"['YML100W', 'YAL061W', 'YDL038C', 'YCL040W', 'YHR087W', 'YLR327C', 'YGL089C', 'YDR171W', 'YLR361C', 'YLR360W']"
YDR199W,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YDR200C,"['YDR170W-A', 'YLR327C', 'YDR171W', 'YAR073W', 'YBR085C-A', 'YBR072W', 'YDR034W-B', 'Q0055', 'Q0010', 'YLR356W']"
YDR201W,"['YDR034W-B', 'YBR085C-A', 'YIL117C', 'YPL223C', 'YIL080W', 'YGR043C', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YDR202C,"['YDR171W', 'YHR087W', 'YDL038C', 'YDR170W-A', 'YOL052C-A', 'YLR344W', 'YLR342W', 'YLR361C', 'YLR360W', 'YLR359W']"
YDR203W,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YDR204W,"['YLR178C', 'YGL037C', 'YGR019W', 'YHR087W', 'YDL039C', 'YGL089C', 'YML128C', 'YBR072W', 'YDL130W-A', 'YGR008C']"
YDR205W,"['YBR072W', 'YHR087W', 'YFL014W', 'Q0010', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YDR206W,"['YHR087W', 'Q0055', 'YDL038C', 'YDR170W-A', 'YFR053C', 'YLR327C', 'YFL014W', 'YML100W', 'YLR356W', 'YLR363C']"
YDR207C,"['YIL117C', 'YFL014W', 'YGL089C', 'YBR072W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YDR208W,"['YFL014W', 'YOL052C-A', 'YOR374W', 'Q0130', 'YLR361C', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C']"
YDR209C,"['YBR072W', 'YML128C', 'YNL036W', 'YFR053C', 'YLR354C', 'YLR362W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C']"
YDR210C-C,"['YPR158W-A', 'YMR046C', 'YDR170W-A', 'YHR087W', 'YFR053C', 'Q0130', 'YGL089C', 'YLR345W', 'YLR354C', 'YLR362W']"
